case,answer,completed,error,steps,broad_call_count,full_metrics_scan,broad_metrics_only,focus_call_count,focus_metrics_first,focus_has_trace_log,alternative_compare,multiple_focus_backtrack_like,retry_steps,failed_call_count,workflow_ok
case_000022,currencyservice_latency,True,,10,8,True,True,1,True,False,False,False,0,0,False
case_000023,currencyservice_latency,True,,10,8,True,True,1,True,False,False,False,0,0,False
case_000024,currencyservice_latency,True,,10,8,True,True,1,True,False,False,False,0,0,False
case_000025,currencyservice_diskio,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000026,currencyservice_diskio,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000027,currencyservice_diskio,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000028,currencyservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000029,currencyservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000030,currencyservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000031,currencyservice_mem,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000032,currencyservice_mem,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000033,currencyservice_mem,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000034,currencyservice_socket,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000035,currencyservice_socket,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000036,currencyservice_socket,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000037,emailservice_cpu,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000038,emailservice_cpu,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000039,emailservice_cpu,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000040,emailservice_latency,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000041,emailservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000042,emailservice_latency,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000043,emailservice_diskio,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000044,emailservice_diskio,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000045,emailservice_diskio,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000046,emailservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000047,emailservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000048,emailservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000049,emailservice_mem,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000050,emailservice_mem,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000051,emailservice_mem,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000052,emailservice_socket,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000053,emailservice_socket,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000054,emailservice_socket,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000055,productcatalogservice_cpu,True,,10,8,True,True,1,True,False,False,False,0,0,False
case_000056,productcatalogservice_cpu,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000057,productcatalogservice_cpu,True,,10,8,True,True,1,True,False,False,False,0,0,False
case_000058,productcatalogservice_latency,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000059,productcatalogservice_latency,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000060,productcatalogservice_latency,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000061,productcatalogservice_diskio,True,,10,8,True,True,1,True,False,False,False,0,0,False
case_000062,productcatalogservice_diskio,True,,10,8,True,True,1,True,False,False,False,0,0,False
case_000063,productcatalogservice_diskio,True,,10,8,True,True,1,True,False,False,False,0,0,False
case_000064,productcatalogservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000065,productcatalogservice_latency,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000066,productcatalogservice_latency,True,,11,8,True,True,2,True,True,False,True,0,0,True
case_000067,productcatalogservice_mem,True,,9,7,False,True,1,True,False,False,False,0,0,False
case_000068,productcatalogservice_mem,True,,10,8,True,True,1,True,False,False,False,0,0,False
case_000069,productcatalogservice_mem,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000070,productcatalogservice_socket,True,,10,8,True,True,1,True,False,False,False,0,0,False
case_000071,productcatalogservice_socket,True,,9,7,False,True,1,True,False,False,False,0,0,False
case_000072,productcatalogservice_socket,True,,10,8,True,True,1,True,False,False,False,0,0,False
case_000073,recommendationservice_cpu,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000074,recommendationservice_cpu,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000075,recommendationservice_cpu,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000076,recommendationservice_latency,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000077,recommendationservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000078,recommendationservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000079,recommendationservice_diskio,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000080,recommendationservice_diskio,True,,9,7,False,True,1,True,True,False,False,0,0,False
case_000081,recommendationservice_diskio,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000082,recommendationservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000083,recommendationservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000084,recommendationservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000085,recommendationservice_mem,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000086,recommendationservice_mem,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000087,recommendationservice_mem,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000088,recommendationservice_socket,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000089,recommendationservice_socket,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000090,recommendationservice_socket,True,,10,8,True,True,1,True,True,False,False,0,0,True
