case,answer,answer_component,answer_reason,prediction,error,top1_component,top1_reason,top1_both,top2_component,top2_reason,top2_both,top3_component,top3_reason,top3_both
case_000044,emailservice_diskio,emailservice,diskio,"[""emailservice_diskio"", ""checkoutservice_latency"", ""currencyservice_mem""]",,True,True,True,True,True,True,True,True,True
case_000045,emailservice_diskio,emailservice,diskio,"[""emailservice_diskio"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000046,emailservice_latency,emailservice,latency,"[""emailservice_mem"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,False,False,True,True,False,True,True,False
case_000047,emailservice_latency,emailservice,latency,"[""emailservice_mem"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,False,False,True,True,False,True,True,False
case_000048,emailservice_latency,emailservice,latency,"[""emailservice_mem"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,False,False,True,True,False,True,True,False
case_000049,emailservice_mem,emailservice,mem,"[""emailservice_mem"", ""checkoutservice_latency"", ""currencyservice_mem""]",,True,True,True,True,True,True,True,True,True
case_000050,emailservice_mem,emailservice,mem,"[""emailservice_mem"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000051,emailservice_mem,emailservice,mem,"[""emailservice_mem"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000052,emailservice_socket,emailservice,socket,"[""emailservice_mem"", ""currencyservice_latency"", ""checkoutservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000053,emailservice_socket,emailservice,socket,"[""emailservice_mem"", ""checkoutservice_latency"", ""cartservice_mem""]",,True,False,False,True,False,False,True,False,False
case_000054,emailservice_socket,emailservice,socket,"[""emailservice_mem"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000055,productcatalogservice_cpu,productcatalogservice,cpu,"[""productcatalogservice_latency"", ""recommendationservice_latency"", ""currencyservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000056,productcatalogservice_cpu,productcatalogservice,cpu,"[""productcatalogservice_latency"", ""recommendationservice_latency"", ""checkoutservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000057,productcatalogservice_cpu,productcatalogservice,cpu,"[""productcatalogservice_latency"", ""recommendationservice_latency"", ""checkoutservice_mem""]",,True,False,False,True,False,False,True,False,False
case_000058,productcatalogservice_latency,productcatalogservice,latency,"[""productcatalogservice_latency"", ""recommendationservice_latency"", ""frontend_latency""]",,True,True,True,True,True,True,True,True,True
case_000059,productcatalogservice_latency,productcatalogservice,latency,"[""productcatalogservice_latency"", ""recommendationservice_latency"", ""frontend_latency""]",,True,True,True,True,True,True,True,True,True
case_000060,productcatalogservice_latency,productcatalogservice,latency,"[""productcatalogservice_latency"", ""recommendationservice_latency"", ""emailservice_mem""]",,True,True,True,True,True,True,True,True,True
case_000061,productcatalogservice_diskio,productcatalogservice,diskio,"[""productcatalogservice_diskio"", ""recommendationservice_latency"", ""emailservice_mem""]",,True,True,True,True,True,True,True,True,True
case_000062,productcatalogservice_diskio,productcatalogservice,diskio,"[""productcatalogservice_diskio"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000063,productcatalogservice_diskio,productcatalogservice,diskio,"[""productcatalogservice_diskio"", ""recommendationservice_latency"", ""checkoutservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000064,productcatalogservice_latency,productcatalogservice,latency,"[""productcatalogservice_latency"", ""recommendationservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000065,productcatalogservice_latency,productcatalogservice,latency,"[""productcatalogservice_latency"", ""recommendationservice_latency"", ""checkoutservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000066,productcatalogservice_latency,productcatalogservice,latency,"[""recommendationservice_latency"", ""productcatalogservice_latency"", ""checkoutservice_latency""]",,False,True,False,True,True,True,True,True,True
case_000067,productcatalogservice_mem,productcatalogservice,mem,"[""productcatalogservice_latency"", ""recommendationservice_latency"", ""checkoutservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000068,productcatalogservice_mem,productcatalogservice,mem,"[""productcatalogservice_latency"", ""checkoutservice_latency"", ""currencyservice_socket""]",,True,False,False,True,False,False,True,False,False
case_000069,productcatalogservice_mem,productcatalogservice,mem,"[""recommendationservice_latency"", ""productcatalogservice_latency"", ""currencyservice_latency""]",,False,False,False,True,False,False,True,False,False
case_000070,productcatalogservice_socket,productcatalogservice,socket,"[""productcatalogservice_latency"", ""recommendationservice_latency"", ""checkoutservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000071,productcatalogservice_socket,productcatalogservice,socket,"[""productcatalogservice_mem"", ""recommendationservice_latency"", ""currencyservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000072,productcatalogservice_socket,productcatalogservice,socket,"[""productcatalogservice_mem"", ""productcatalogservice_socket"", ""emailservice_mem""]",,True,False,False,True,True,True,True,True,True
case_000073,recommendationservice_cpu,recommendationservice,cpu,"[""recommendationservice_latency"", ""currencyservice_latency"", ""emailservice_mem""]",,True,False,False,True,False,False,True,False,False
case_000074,recommendationservice_cpu,recommendationservice,cpu,"[""recommendationservice_latency"", ""recommendationservice_mem"", ""currencyservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000075,recommendationservice_cpu,recommendationservice,cpu,"[""recommendationservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000076,recommendationservice_latency,recommendationservice,latency,"[""recommendationservice_latency"", ""frontend_latency"", ""checkoutservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000077,recommendationservice_latency,recommendationservice,latency,"[""recommendationservice_latency"", ""frontend_latency"", ""emailservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000078,recommendationservice_latency,recommendationservice,latency,"[""recommendationservice_latency"", ""currencyservice_latency"", ""emailservice_mem""]",,True,True,True,True,True,True,True,True,True
case_000079,recommendationservice_diskio,recommendationservice,diskio,"[""recommendationservice_diskio"", ""currencyservice_latency"", ""frontend_latency""]",,True,True,True,True,True,True,True,True,True
case_000080,recommendationservice_diskio,recommendationservice,diskio,"[""recommendationservice_diskio"", ""recommendationservice_mem"", ""recommendationservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000081,recommendationservice_diskio,recommendationservice,diskio,"[""recommendationservice_diskio"", ""recommendationservice_mem"", ""recommendationservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000082,recommendationservice_latency,recommendationservice,latency,"[""recommendationservice_mem"", ""emailservice_mem"", ""frontend_socket""]",,True,False,False,True,False,False,True,False,False
case_000083,recommendationservice_latency,recommendationservice,latency,"[""recommendationservice_latency"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000084,recommendationservice_latency,recommendationservice,latency,"[""recommendationservice_latency"", ""recommendationservice_diskio"", ""recommendationservice_mem""]",,True,True,True,True,True,True,True,True,True
case_000085,recommendationservice_mem,recommendationservice,mem,"[""recommendationservice_latency"", ""emailservice_socket"", ""checkoutservice_socket""]",,True,False,False,True,False,False,True,False,False
case_000086,recommendationservice_mem,recommendationservice,mem,"[""recommendationservice_latency"", ""recommendationservice_mem"", ""currencyservice_latency""]",,True,False,False,True,True,True,True,True,True
case_000087,recommendationservice_mem,recommendationservice,mem,"[""recommendationservice_latency"", ""recommendationservice_mem"", ""recommendationservice_diskio""]",,True,False,False,True,True,True,True,True,True
case_000088,recommendationservice_socket,recommendationservice,socket,"[""recommendationservice_latency"", ""recommendationservice_mem"", ""frontend_latency""]",,True,False,False,True,False,False,True,False,False
case_000089,recommendationservice_socket,recommendationservice,socket,"[""recommendationservice_mem"", ""currencyservice_latency"", ""emailservice_mem""]",,True,False,False,True,False,False,True,False,False
case_000090,recommendationservice_socket,recommendationservice,socket,"[""recommendationservice_mem"", ""recommendationservice_socket"", ""recommendationservice_latency""]",,True,False,False,True,True,True,True,True,True
