case,answer,step,kind,status,start_time,end_time,components,modalities,returned_count,truncated,workflow_check,prediction
case_000005,checkoutservice_latency,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000005,checkoutservice_latency,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000005,checkoutservice_latency,9,completed,True,,,,,,,OK completed,"[""emailservice_latency"", ""checkoutservice_latency"", ""shippingservice_latency""]"
case_000005,checkoutservice_latency,10,completed,True,,,,,,,OK completed,"[""emailservice_latency"", ""checkoutservice_latency"", ""shippingservice_latency""]"
case_000006,checkoutservice_latency,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000006,checkoutservice_latency,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000006,checkoutservice_latency,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000006,checkoutservice_latency,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000006,checkoutservice_latency,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000006,checkoutservice_latency,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000006,checkoutservice_latency,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000006,checkoutservice_latency,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000006,checkoutservice_latency,9,component_focus,True,1260,1440,"[""shippingservice""]",metrics->logs->metrics->logs->metrics->logs->metrics->logs->metrics->logs->metrics->logs,36,False,WARN component focus metrics-first but trace/log missing,
case_000006,checkoutservice_latency,10,component_focus,True,1260,1440,"[""shippingservice"", ""checkoutservice"", ""paymentservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000006,checkoutservice_latency,11,completed,True,,,,,,,OK completed,"[""shippingservice_latency"", ""checkoutservice_latency"", ""paymentservice_latency""]"
case_000007,checkoutservice_diskio,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000007,checkoutservice_diskio,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000007,checkoutservice_diskio,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000007,checkoutservice_diskio,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000007,checkoutservice_diskio,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000007,checkoutservice_diskio,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000007,checkoutservice_diskio,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000007,checkoutservice_diskio,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000007,checkoutservice_diskio,9,component_focus,True,1260,1440,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000007,checkoutservice_diskio,10,completed,True,,,,,,,OK completed,"[""checkoutservice_diskio"", ""emailservice_latency"", ""currencyservice_latency""]"
case_000008,checkoutservice_diskio,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000008,checkoutservice_diskio,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000008,checkoutservice_diskio,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000008,checkoutservice_diskio,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000008,checkoutservice_diskio,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000008,checkoutservice_diskio,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000008,checkoutservice_diskio,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000008,checkoutservice_diskio,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000008,checkoutservice_diskio,9,component_focus,True,1260,1440,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000008,checkoutservice_diskio,10,component_focus,True,1260,1440,"[""currencyservice"", ""emailservice"", ""productcatalogservice"", ""recommendationservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000008,checkoutservice_diskio,11,completed,True,,,,,,,OK completed,"[""checkoutservice_diskio"", ""emailservice_mem"", ""currencyservice_latency""]"
case_000009,checkoutservice_diskio,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000009,checkoutservice_diskio,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000009,checkoutservice_diskio,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000009,checkoutservice_diskio,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000009,checkoutservice_diskio,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000009,checkoutservice_diskio,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000009,checkoutservice_diskio,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000009,checkoutservice_diskio,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000009,checkoutservice_diskio,9,component_focus,True,1260,1440,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000009,checkoutservice_diskio,10,completed,True,,,,,,,OK completed,"[""checkoutservice_diskio"", ""currencyservice_latency"", ""paymentservice_latency""]"
case_000010,checkoutservice_latency,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000010,checkoutservice_latency,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000010,checkoutservice_latency,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000010,checkoutservice_latency,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000010,checkoutservice_latency,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000010,checkoutservice_latency,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000010,checkoutservice_latency,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000010,checkoutservice_latency,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000010,checkoutservice_latency,9,component_focus,True,1260,1440,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000010,checkoutservice_latency,10,completed,True,,,,,,,OK completed,"[""checkoutservice_latency"", ""currencyservice_latency"", ""emailservice_latency""]"
case_000011,checkoutservice_latency,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000011,checkoutservice_latency,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000011,checkoutservice_latency,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000011,checkoutservice_latency,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000011,checkoutservice_latency,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000011,checkoutservice_latency,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000011,checkoutservice_latency,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000011,checkoutservice_latency,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000011,checkoutservice_latency,9,component_focus,True,1260,1440,"[""emailservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,42,False,OK component focus metrics->trace->log,
case_000011,checkoutservice_latency,10,completed,True,,,,,,,OK completed,"[""emailservice_mem"", ""checkoutservice_latency"", ""currencyservice_latency""]"
case_000012,checkoutservice_latency,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000012,checkoutservice_latency,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000012,checkoutservice_latency,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000012,checkoutservice_latency,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000012,checkoutservice_latency,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000012,checkoutservice_latency,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000012,checkoutservice_latency,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000012,checkoutservice_latency,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000012,checkoutservice_latency,9,component_focus,True,1260,1440,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000012,checkoutservice_latency,10,component_focus,True,1260,1440,"[""currencyservice"", ""emailservice"", ""productcatalogservice"", ""recommendationservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000012,checkoutservice_latency,11,completed,True,,,,,,,OK completed,"[""checkoutservice_latency"", ""currencyservice_latency"", ""emailservice_latency""]"
case_000013,checkoutservice_mem,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000013,checkoutservice_mem,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000013,checkoutservice_mem,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000013,checkoutservice_mem,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000013,checkoutservice_mem,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000013,checkoutservice_mem,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000013,checkoutservice_mem,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000013,checkoutservice_mem,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000013,checkoutservice_mem,9,component_focus,True,1260,1440,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000013,checkoutservice_mem,10,completed,True,,,,,,,OK completed,"[""checkoutservice_mem"", ""currencyservice_latency"", ""emailservice_mem""]"
case_000014,checkoutservice_mem,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000014,checkoutservice_mem,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000014,checkoutservice_mem,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000014,checkoutservice_mem,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000014,checkoutservice_mem,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000014,checkoutservice_mem,6,metrics_broad_scan,True,900,990,[],metrics,9,False,OK metrics-only broad scan,
case_000014,checkoutservice_mem,7,completed,True,,,,,,,OK completed,"[""checkoutservice_mem"", ""checkoutservice_cpu"", ""checkoutservice_latency""]"
case_000014,checkoutservice_mem,8,completed,True,,,,,,,OK completed,"[""checkoutservice_mem"", ""checkoutservice_cpu"", ""checkoutservice_latency""]"
case_000015,checkoutservice_mem,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000015,checkoutservice_mem,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000015,checkoutservice_mem,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000015,checkoutservice_mem,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000015,checkoutservice_mem,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000015,checkoutservice_mem,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000015,checkoutservice_mem,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000015,checkoutservice_mem,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000015,checkoutservice_mem,9,component_focus,True,1260,1440,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000015,checkoutservice_mem,10,completed,True,,,,,,,OK completed,"[""checkoutservice_mem"", ""currencyservice_latency"", ""emailservice_mem""]"
case_000016,checkoutservice_socket,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000016,checkoutservice_socket,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000016,checkoutservice_socket,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000016,checkoutservice_socket,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000016,checkoutservice_socket,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000016,checkoutservice_socket,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000016,checkoutservice_socket,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000016,checkoutservice_socket,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000016,checkoutservice_socket,9,component_focus,True,1260,1440,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000016,checkoutservice_socket,10,component_focus,True,1260,1440,"[""checkoutservice"", ""currencyservice"", ""emailservice"", ""productcatalogservice"", ""recommendationservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000016,checkoutservice_socket,11,completed,True,,,,,,,OK completed,"[""checkoutservice_socket"", ""currencyservice_latency"", ""emailservice_mem""]"
case_000017,checkoutservice_socket,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000017,checkoutservice_socket,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000017,checkoutservice_socket,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000017,checkoutservice_socket,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000017,checkoutservice_socket,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000017,checkoutservice_socket,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000017,checkoutservice_socket,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000017,checkoutservice_socket,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000017,checkoutservice_socket,9,component_focus,True,1260,1440,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000017,checkoutservice_socket,10,component_focus,True,1260,1440,"[""currencyservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,48,False,OK component focus metrics->trace->log,
case_000017,checkoutservice_socket,11,completed,True,,,,,,,OK completed,"[""checkoutservice_mem"", ""checkoutservice_socket"", ""currencyservice_latency""]"
case_000018,checkoutservice_socket,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000018,checkoutservice_socket,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000018,checkoutservice_socket,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000018,checkoutservice_socket,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000018,checkoutservice_socket,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000018,checkoutservice_socket,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000018,checkoutservice_socket,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000018,checkoutservice_socket,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000018,checkoutservice_socket,9,component_focus,True,1260,1440,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000018,checkoutservice_socket,10,component_focus,True,1260,1440,"[""emailservice"", ""currencyservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000018,checkoutservice_socket,11,completed,True,,,,,,,OK completed,"[""checkoutservice_mem"", ""emailservice_mem"", ""currencyservice_mem""]"
case_000019,currencyservice_cpu,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000019,currencyservice_cpu,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000019,currencyservice_cpu,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000019,currencyservice_cpu,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000019,currencyservice_cpu,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000019,currencyservice_cpu,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000019,currencyservice_cpu,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000019,currencyservice_cpu,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000019,currencyservice_cpu,9,component_focus,True,1260,1440,"[""currencyservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,48,False,OK component focus metrics->trace->log,
case_000019,currencyservice_cpu,10,completed,True,,,,,,,OK completed,"[""currencyservice_latency"", ""checkoutservice_latency"", ""frontend_latency""]"
case_000020,currencyservice_cpu,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000020,currencyservice_cpu,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000020,currencyservice_cpu,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000020,currencyservice_cpu,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000020,currencyservice_cpu,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000020,currencyservice_cpu,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000020,currencyservice_cpu,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000020,currencyservice_cpu,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000020,currencyservice_cpu,9,component_focus,True,1260,1440,"[""currencyservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,48,False,OK component focus metrics->trace->log,
case_000020,currencyservice_cpu,10,completed,True,,,,,,,OK completed,"[""currencyservice_latency"", ""emailservice_mem"", ""cartservice_latency""]"
case_000021,currencyservice_cpu,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000021,currencyservice_cpu,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000021,currencyservice_cpu,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000021,currencyservice_cpu,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000021,currencyservice_cpu,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000021,currencyservice_cpu,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000021,currencyservice_cpu,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
